LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
0.000000,0.000000,1726714119.035317,411016.000,65105,3,AZ,1,100,-0.333
0.000000,0.000000,1726714119.075318,411056.000,65105,3,AZ,1,100,-0.328
0.000000,0.000000,1726714119.115318,411096.000,65105,3,AZ,1,100,-0.332
0.000000,0.000000,1726714119.155319,411136.000,65125,2,AZ,1,100,-0.333
0.000000,0.000000,1726714119.195319,411176.000,65125,2,AZ,1,100,-0.333
0.000000,0.000000,1726714119.235320,411216.000,65143,3,AZ,1,100,-0.332
0.000000,0.000000,1726714119.275320,411256.000,65143,3,AZ,1,100,-0.332
0.000000,0.000000,1726714119.315320,411296.000,65143,3,AZ,1,100,-0.333
0.000000,0.000000,1726714119.355321,411336.000,65159,2,AZ,1,100,-0.333
0.000000,0.000000,1726714119.395321,411376.000,65159,2,AZ,1,100,-0.330
0.000000,0.000000,1726714119.435322,411416.000,65175,3,AZ,1,100,-0.332
0.000000,0.000000,1726714119.475322,411456.000,65175,3,AZ,1,100,-0.328
0.000000,0.000000,1726714119.515323,411496.000,65175,3,AZ,1,100,-0.338
0.000000,0.000000,1726714119.555323,411536.000,65192,3,AZ,1,100,-0.329
0.000000,0.000000,1726714119.595323,411576.000,65192,3,AZ,1,100,-0.337
0.000000,0.000000,1726714119.635324,411616.000,65192,3,AZ,1,100,-0.326
0.000000,0.000000,1726714119.675324,411656.000,65208,2,AZ,1,100,-0.333
0.000000,0.000000,1726714119.715325,411696.000,65208,2,AZ,1,100,-0.334
0.000000,0.000000,1726714119.755325,411736.000,65226,3,AZ,1,100,-0.330
0.000000,0.000000,1726714119.795326,411776.000,65226,3,AZ,1,100,-0.336
0.000000,0.000000,1726714119.835326,411816.000,65226,3,AZ,1,100,-0.325
0.000000,0.000000,1726714119.875326,411856.000,65242,2,AZ,1,100,-0.333
