EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GX
1857373.000,35978,3,GX,1,100,0.671
1857413.000,35978,3,GX,1,100,0.732
1857453.000,35978,3,GX,1,100,0.732
1857492.500,35993,2,GX,1,100,0.702
1857532.000,35993,2,GX,1,100,0.702
1857572.000,36010,3,GX,1,100,0.732
1857612.000,36010,3,GX,1,100,0.732
1857652.000,36010,3,GX,1,100,0.671
1857692.333,36026,3,GX,1,100,0.702
1857732.667,36026,3,GX,1,100,0.702
1857773.000,36026,3,GX,1,100,0.671
1857812.500,36043,2,GX,1,100,0.671
1857852.000,36043,2,GX,1,100,0.702
1857892.000,36060,3,GX,1,100,0.702
1857932.000,36060,3,GX,1,100,0.702
1857972.000,36060,3,GX,1,100,0.702
1858012.500,36075,2,GX,1,100,0.671
1858053.000,36075,2,GX,1,100,0.671
1858093.000,36091,3,GX,1,100,0.732
1858133.000,36091,3,GX,1,100,0.702
1858173.000,36091,3,GX,1,100,0.702
1858213.000,36108,2,GX,1,100,0.702
1858253.000,36108,2,GX,1,100,0.671
1858292.667,36125,3,GX,1,100,0.732
1858332.333,36125,3,GX,1,100,0.702
1858372.000,36125,3,GX,1,100,0.671
1858412.000,36140,2,GX,1,100,0.732
1858452.000,36140,2,GX,1,100,0.732
1858492.000,36156,3,GX,1,100,0.671
1858532.000,36156,3,GX,1,100,0.671
1858572.000,36156,3,GX,1,100,0.732
1858612.000,36174,2,GX,1,100,0.732
1858652.000,36174,2,GX,1,100,0.732
1858692.000,36190,3,GX,1,100,0.702
1858732.000,36190,3,GX,1,100,0.732
1858772.000,36190,3,GX,1,100,0.702
1858812.000,36205,2,GX,1,100,0.732
1858852.000,36205,2,GX,1,100,0.763
1858892.000,36222,3,GX,1,100,0.702
1858932.000,36222,3,GX,1,100,0.702
1858972.000,36222,3,GX,1,100,0.732
1859012.000,36239,2,GX,1,100,0.702
1859052.000,36239,2,GX,1,100,0.702
1859092.000,36255,3,GX,1,100,0.702
1859132.000,36255,3,GX,1,100,0.732
1859172.000,36255,3,GX,1,100,0.702
1859212.000,36270,3,GX,1,100,0.671
1859252.000,36270,3,GX,1,100,0.732
1859292.000,36270,3,GX,1,100,0.702
1859332.000,36287,2,GX,1,100,0.671
1859372.000,36287,2,GX,1,100,0.702
1859412.000,36304,3,GX,1,100,0.732
1859452.000,36304,3,GX,1,100,0.732
1859492.000,36304,3,GX,1,100,0.732
1859532.000,36320,2,GX,1,100,0.732
1859572.000,36320,2,GX,1,100,0.763
1859612.000,36337,3,GX,1,100,0.732
1859652.000,36337,3,GX,1,100,0.671
1859692.000,36337,3,GX,1,100,0.732
1859732.000,36352,2,GX,1,100,0.702
1859772.000,36352,2,GX,1,100,0.702
1859812.000,36369,3,GX,1,100,0.732
1859852.000,36369,3,GX,1,100,0.732
1859892.000,36369,3,GX,1,100,0.732
1859932.000,36386,2,GX,1,100,0.702
1859972.000,36386,2,GX,1,100,0.702
1860012.000,36403,3,GX,1,100,0.702
1860052.000,36403,3,GX,1,100,0.671
1860092.000,36403,3,GX,1,100,0.671
1860132.000,36417,2,GX,1,100,0.732
1860172.000,36417,2,GX,1,100,0.702
1860212.000,36435,3,GX,1,100,0.702
1860252.000,36435,3,GX,1,100,0.763
1860292.000,36435,3,GX,1,100,0.732
1860332.000,36451,3,GX,1,100,0.702
1860372.000,36451,3,GX,1,100,0.702
1860412.000,36451,3,GX,1,100,0.702
1860452.000,36468,2,GX,1,100,0.732
1860492.000,36468,2,GX,1,100,0.702
1860532.000,36482,3,GX,1,100,0.732
1860572.000,36482,3,GX,1,100,0.763
1860612.000,36482,3,GX,1,100,0.671
1860652.000,36500,2,GX,1,100,0.671
1860692.000,36500,2,GX,1,100,0.702
1860732.000,36516,3,GX,1,100,0.732
1860772.000,36516,3,GX,1,100,0.702
1860812.000,36516,3,GX,1,100,0.641
1860852.000,36533,2,GX,1,100,0.732
1860892.000,36533,2,GX,1,100,0.732
1860932.000,36548,3,GX,1,100,0.702
1860972.000,36548,3,GX,1,100,0.702
1861012.000,36548,3,GX,1,100,0.702
1861052.000,36565,2,GX,1,100,0.732
1861092.000,36565,2,GX,1,100,0.702
1861132.000,36581,3,GX,1,100,0.732
1861172.000,36581,3,GX,1,100,0.702
1861212.000,36581,3,GX,1,100,0.671
1861252.000,36599,2,GX,1,100,0.702
1861292.000,36599,2,GX,1,100,0.702
1861332.000,36615,3,GX,1,100,0.671
1861372.000,36615,3,GX,1,100,0.671
1861412.000,36615,3,GX,1,100,0.702
1861452.000,36632,2,GX,1,100,0.702
1861492.000,36632,2,GX,1,100,0.732
1861532.000,36648,3,GX,1,100,0.732
1861572.000,36648,3,GX,1,100,0.732
1861612.000,36648,3,GX,1,100,0.702
1861652.000,36666,3,GX,1,100,0.732
1861692.000,36666,3,GX,1,100,0.702
1861732.000,36666,3,GX,1,100,0.732
1861772.000,36681,2,GX,1,100,0.732
1861812.000,36681,2,GX,1,100,0.732
1861852.000,36697,3,GX,1,100,0.732
1861892.000,36697,3,GX,1,100,0.732
1861932.000,36697,3,GX,1,100,0.671
1861972.000,36714,2,GX,1,100,0.671
1862012.000,36714,2,GX,1,100,0.732
1862052.000,36734,4,GX,1,100,0.702
1862092.000,36734,4,GX,1,100,0.671
1862132.000,36734,4,GX,1,100,0.702
1862172.000,36734,4,GX,1,100,0.732
1862212.000,36750,2,GX,1,100,0.702
1862252.000,36750,2,GX,1,100,0.732
1862292.000,36768,3,GX,1,100,0.732
1862332.000,36768,3,GX,1,100,0.702
1862372.000,36768,3,GX,1,100,0.732
1862412.000,36782,2,GX,1,100,0.763
1862452.000,36782,2,GX,1,100,0.732
1862492.000,36799,3,GX,1,100,0.732
1862532.000,36799,3,GX,1,100,0.702
1862572.000,36799,3,GX,1,100,0.671
1862612.000,36816,2,GX,1,100,0.702
1862652.000,36816,2,GX,1,100,0.732
1862692.000,36833,3,GX,1,100,0.732
1862732.000,36833,3,GX,1,100,0.732
1862772.000,36833,3,GX,1,100,0.732
1862812.000,36847,2,GX,1,100,0.732
1862852.000,36847,2,GX,1,100,0.702
1862892.000,36865,3,GX,1,100,0.702
1862932.000,36865,3,GX,1,100,0.702
1862972.000,36865,3,GX,1,100,0.732
1863012.000,36881,3,GX,1,100,0.671
1863052.000,36881,3,GX,1,100,0.732
1863092.000,36881,3,GX,1,100,0.732
1863132.000,36898,2,GX,1,100,0.702
1863172.000,36898,2,GX,1,100,0.732
1863212.000,36912,3,GX,1,100,0.732
1863252.000,36912,3,GX,1,100,0.702
1863292.000,36912,3,GX,1,100,0.671
1863332.000,36930,2,GX,1,100,0.702
1863372.000,36930,2,GX,1,100,0.732
1863412.000,36946,3,GX,1,100,0.732
1863452.000,36946,3,GX,1,100,0.732
1863492.000,36946,3,GX,1,100,0.732
1863532.000,36963,2,GX,1,100,0.732
1863572.000,36963,2,GX,1,100,0.732
1863612.000,36979,3,GX,1,100,0.702
1863652.000,36979,3,GX,1,100,0.702
1863692.000,36979,3,GX,1,100,0.702
1863732.000,36995,2,GX,1,100,0.702
1863772.000,36995,2,GX,1,100,0.702
1863812.000,37011,3,GX,1,100,0.702
1863852.000,37011,3,GX,1,100,0.763
1863892.000,37011,3,GX,1,100,0.702
1863932.000,37029,2,GX,1,100,0.671
1863972.000,37029,2,GX,1,100,0.702
1864012.000,37045,3,GX,1,100,0.702
1864052.000,37045,3,GX,1,100,0.702
1864092.000,37045,3,GX,1,100,0.671
