LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
0.000000,0.000000,1726702093.891208,746664.000,53789,3,PG,1,100,620
0.000000,0.000000,1726702093.937709,746710.500,53805,2,PG,1,100,628
0.000000,0.000000,1726702093.984210,746757.000,53805,2,PG,1,100,615
0.000000,0.000000,1726702094.024210,746797.000,53822,3,PG,1,100,607
0.000000,0.000000,1726702094.064211,746837.000,53822,3,PG,1,100,613
0.000000,0.000000,1726702094.104211,746877.000,53822,3,PG,1,100,618
0.000000,0.000000,1726702094.144212,746917.000,53839,2,PG,1,100,624
0.000000,0.000000,1726702094.184212,746957.000,53839,2,PG,1,100,613
0.000000,0.000000,1726702094.224213,746997.000,53854,3,PG,1,100,622
0.000000,0.000000,1726702094.264214,747037.000,53854,3,PG,1,100,628
0.000000,0.000000,1726702094.304214,747077.000,53854,3,PG,1,100,628
0.000000,0.000000,1726702094.344215,747117.000,53871,2,PG,1,100,630
0.000000,0.000000,1726702094.384215,747157.000,53871,2,PG,1,100,622
